horizon_days,matched_events,mean_att_percentile_delta,median_att_percentile_delta,p25,p75,treated_gt_control_pct,treated_lt_control_pct,ttest_p,wilcoxon_p_nonzero
7,869,0.0453426460696202,4.66666666665283e-05,-0.0003299999999999,0.0321,53.51,43.84,4.982632841198145e-13,4.0691312187461895e-09
30,868,0.0017782834013056,2.0000000000013063e-05,-0.0312216666666666,0.0457099999999999,50.58,48.04,0.8324782734165364,0.4811024632654154
