event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank,treated_epss_plus7,treated_percentile_plus7,control_epss_plus7,control_percentile_plus7,treated_percentile_delta_plus7,control_percentile_delta_plus7,att_percentile_delta_plus7,treated_epss_plus30,treated_percentile_plus30,control_epss_plus30,control_percentile_plus30,treated_percentile_delta_plus30,control_percentile_delta_plus30,att_percentile_delta_plus30
42,CVE-2018-1000045,2025-04-11,CVE-2018-16790,2025-05-17,2,0.2999999999999998,0.00578,0.66432,0.0,0.00508,0.63715,0.0,0.02717,3,0.00578,0.67591,0.00508,0.65055,0.0115899999999999,0.0133999999999999,-0.0018099999999999,0.00578,0.67631,0.00672,0.70163,0.0119899999999999,0.0644799999999999,-0.05249
43,CVE-2018-1000046,2025-04-11,CVE-2018-4413,2025-05-24,3,2.55,0.00578,0.66432,0.0,0.00556,0.6564,0.0,0.00792,1,0.00578,0.67591,0.00556,0.6686,0.0115899999999999,0.0121999999999999,-0.0006099999999999,0.00578,0.67631,0.00556,0.66903,0.0119899999999999,0.01263,-0.00064
43,CVE-2018-1000046,2025-04-11,CVE-2018-4344,2025-05-24,1,0.0,0.00578,0.66432,0.0,0.00515,0.64046,0.0,0.0238599999999999,2,0.00578,0.67591,0.00515,0.6535,0.0115899999999999,0.0130399999999999,-0.0014499999999999,0.00578,0.67631,0.00515,0.65426,0.0119899999999999,0.0137999999999999,-0.0018099999999999
43,CVE-2018-1000046,2025-04-11,CVE-2018-16790,2025-05-17,2,0.2999999999999998,0.00578,0.66432,0.0,0.00508,0.63715,0.0,0.02717,3,0.00578,0.67591,0.00508,0.65055,0.0115899999999999,0.0133999999999999,-0.0018099999999999,0.00578,0.67631,0.00672,0.70163,0.0119899999999999,0.0644799999999999,-0.05249
44,CVE-2018-1000047,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,1,0.00968,0.75365,0.01901,0.82216,0.00681,0.00477,0.00204,0.00968,0.75383,0.01901,0.82246,0.00699,0.00507,0.00192
44,CVE-2018-1000047,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,2,0.00968,0.75365,0.01901,0.82216,0.00681,0.00477,0.00204,0.00968,0.75383,0.01901,0.82246,0.00699,0.00507,0.00192
44,CVE-2018-1000047,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,3,0.00968,0.75365,0.01901,0.82216,0.00681,0.00477,0.00204,0.00968,0.75383,0.01901,0.82246,0.00699,0.00507,0.00192
45,CVE-2018-1000048,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,1,0.00968,0.75365,0.01901,0.82216,0.00681,0.00477,0.00204,0.00968,0.75383,0.01901,0.82246,0.00699,0.00507,0.00192
45,CVE-2018-1000048,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,2,0.00968,0.75365,0.01901,0.82216,0.00681,0.00477,0.00204,0.00968,0.75383,0.01901,0.82246,0.00699,0.00507,0.00192
45,CVE-2018-1000048,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,3,0.00968,0.75365,0.01901,0.82216,0.00681,0.00477,0.00204,0.00968,0.75383,0.01901,0.82246,0.00699,0.00507,0.00192
