Example,Posted CVE,Horizon (days),Posted CVE change,Average comparison-CVE change,Difference from similar CVEs
A,CVE-2024-42733,7,0.3961599999999999,0.22199000000000002,0.17416999999999988
A,CVE-2024-42733,30,0.41281,0.27476999999999996,0.13804000000000005
B,CVE-2023-28461,7,0.0001299999999999,0.0017533333333333001,-0.0016233333333334002
B,CVE-2023-28461,30,0.00033,0.0018700000000000001,-0.0015400000000000001
