event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance,treated_baseline_epss,treated_baseline_percentile,treated_anchor_offset,control_baseline_epss,control_baseline_percentile,control_anchor_offset,baseline_percentile_distance,match_rank
43,CVE-2018-1000046,2025-04-11,CVE-2018-4344,2025-05-24,1,0.0,0.00578,0.66432,0.0,0.00515,0.64046,0.0,0.023859999999999992,2
43,CVE-2018-1000046,2025-04-11,CVE-2018-16790,2025-05-17,2,0.2999999999999998,0.00578,0.66432,0.0,0.00508,0.63715,0.0,0.027170000000000027,3
44,CVE-2018-1000047,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,1
44,CVE-2018-1000047,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,2
44,CVE-2018-1000047,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,3
45,CVE-2018-1000048,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,1
45,CVE-2018-1000048,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,2
45,CVE-2018-1000048,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.00968,0.74684,0.0,0.01901,0.81739,0.0,0.07055,3
47,CVE-2018-10561,2025-01-29,CVE-2018-1207,2025-04-16,1,0.05,0.96379,0.99705,0.0,0.03398,0.91374,0.0,0.08331,1
48,CVE-2018-10562,2025-01-29,CVE-2018-1207,2025-04-16,1,0.05,0.971,0.99884,0.0,0.03398,0.91374,0.0,0.08509999999999995,1
51,CVE-2018-13379,2025-01-15,CVE-2018-0171,2025-02-20,7,0.7000000000000011,0.96926,0.99832,0.0,0.74487,0.9836,0.0,0.014719999999999955,1
51,CVE-2018-13379,2025-01-15,CVE-2018-1207,2025-04-16,8,0.7500000000000011,0.96926,0.99832,0.0,0.03398,0.91337,0.0,0.08494999999999997,2
53,CVE-2018-16606,2025-04-16,CVE-2018-16790,2025-05-17,3,1.8999999999999997,0.00452,0.62468,0.0,0.00508,0.64995,0.0,0.025270000000000015,1
53,CVE-2018-16606,2025-04-16,CVE-2018-4344,2025-05-24,2,1.5999999999999999,0.00452,0.62468,0.0,0.00515,0.65292,0.0,0.028239999999999932,2
53,CVE-2018-16606,2025-04-16,CVE-2018-4413,2025-05-24,1,1.05,0.00452,0.62468,0.0,0.00556,0.66811,0.0,0.04342999999999997,3
55,CVE-2018-17532,2025-01-29,CVE-2018-3846,2025-04-11,5,1.3,0.01462,0.86614,0.0,0.01015,0.83747,0.0,0.028669999999999973,1
55,CVE-2018-17532,2025-01-29,CVE-2018-3847,2025-04-11,6,1.3,0.01462,0.86614,0.0,0.00833,0.81992,0.0,0.04622000000000004,2
55,CVE-2018-17532,2025-01-29,CVE-2018-1207,2025-04-16,1,0.05,0.01462,0.86614,0.0,0.03398,0.91374,0.0,0.047599999999999976,3
56,CVE-2018-19410,2025-02-05,CVE-2018-1207,2025-04-16,1,0.05,0.04906,0.92777,0.0,0.03398,0.91404,0.0,0.01373000000000002,1
56,CVE-2018-19410,2025-02-05,CVE-2018-3846,2025-04-11,5,1.3,0.04906,0.92777,0.0,0.01015,0.8377,0.0,0.09006999999999998,2
57,CVE-2018-20817,2024-03-18,CVE-2018-1285,2025-04-22,12,0.05,0.0099,0.83166,0.0,0.00819,0.81439,0.0,0.017270000000000008,1
57,CVE-2018-20817,2024-03-18,CVE-2018-1207,2025-04-16,11,0.05,0.0099,0.83166,0.0,0.01875,0.88115,0.0,0.049490000000000034,2
57,CVE-2018-20817,2024-03-18,CVE-2018-17532,2025-01-29,8,0.05,0.0099,0.83166,0.0,0.00572,0.77416,0.0,0.057499999999999996,3
58,CVE-2018-3646,2025-04-11,CVE-2018-0898,2025-05-16,2,0.9499999999999995,0.05906,0.8972,0.0,0.01901,0.81739,0.0,0.07981000000000005,1
58,CVE-2018-3646,2025-04-11,CVE-2018-0899,2025-05-16,3,0.9499999999999995,0.05906,0.8972,0.0,0.01901,0.81739,0.0,0.07981000000000005,2
58,CVE-2018-3646,2025-04-11,CVE-2018-0900,2025-05-16,4,0.9499999999999995,0.05906,0.8972,0.0,0.01901,0.81739,0.0,0.07981000000000005,3
59,CVE-2018-3846,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.02446,0.83867,0.0,0.01901,0.81739,0.0,0.021280000000000077,1
59,CVE-2018-3846,2025-04-11,CVE-2018-0899,2025-05-16,5,4.3500000000000005,0.02446,0.83867,0.0,0.01901,0.81739,0.0,0.021280000000000077,2
59,CVE-2018-3846,2025-04-11,CVE-2018-0900,2025-05-16,6,4.3500000000000005,0.02446,0.83867,0.0,0.01901,0.81739,0.0,0.021280000000000077,3
60,CVE-2018-3847,2025-04-11,CVE-2018-0898,2025-05-16,4,4.3500000000000005,0.01759,0.8104,0.0,0.01901,0.81739,0.0,0.006989999999999941,1
