event_id,treated_cve,treated_event_date,control_cve,control_future_event_date,candidate_rank_static,static_distance
185,CVE-2021-39659,2022-01-10,CVE-2021-30892,2025-01-13,1,0.05
185,CVE-2021-39659,2022-01-10,CVE-2021-30970,2025-01-13,2,0.05
185,CVE-2021-39659,2022-01-10,CVE-2021-30871,2025-05-19,3,0.05
185,CVE-2021-39659,2022-01-10,CVE-2021-30769,2025-05-20,4,0.05
185,CVE-2021-39659,2022-01-10,CVE-2021-38314,2025-05-27,5,0.20000000000000018
185,CVE-2021-39659,2022-01-10,CVE-2021-20023,2025-05-13,6,0.6499999999999997
185,CVE-2021-39659,2022-01-10,CVE-2021-26414,2023-01-16,7,0.7000000000000002
185,CVE-2021-39659,2022-01-10,CVE-2021-20035,2025-04-17,8,1.05
185,CVE-2021-39659,2022-01-10,CVE-2021-31207,2025-02-19,9,1.1499999999999997
185,CVE-2021-39659,2022-01-10,CVE-2021-20288,2025-04-09,10,2.0
185,CVE-2021-39659,2022-01-10,CVE-2021-28976,2025-04-11,11,2.0
185,CVE-2021-39659,2022-01-10,CVE-2021-42291,2023-01-16,12,2.25
255,CVE-2022-3786,2022-11-01,CVE-2022-26931,2023-01-16,1,0.0
255,CVE-2022-3786,2022-11-01,CVE-2022-21449,2025-05-05,2,0.0
255,CVE-2022-3786,2022-11-01,CVE-2022-47879,2023-05-05,3,0.05
255,CVE-2022-3786,2022-11-01,CVE-2022-2591,2023-05-13,4,0.05
255,CVE-2022-3786,2022-11-01,CVE-2022-47076,2023-06-22,5,0.05
255,CVE-2022-3786,2022-11-01,CVE-2022-28171,2023-07-19,6,0.05
255,CVE-2022-3786,2022-11-01,CVE-2022-2827,2025-03-18,7,0.05
255,CVE-2022-3786,2022-11-01,CVE-2022-40242,2025-03-18,8,0.05
255,CVE-2022-3786,2022-11-01,CVE-2022-29154,2025-01-16,9,0.09999999999999964
255,CVE-2022-3786,2022-11-01,CVE-2022-35919,2023-10-09,10,0.14999999999999963
255,CVE-2022-3786,2022-11-01,CVE-2022-46908,2025-05-14,11,0.25000000000000017
255,CVE-2022-3786,2022-11-01,CVE-2022-37967,2023-01-16,12,0.2999999999999998
252,CVE-2022-3602,2022-11-01,CVE-2022-26931,2023-01-16,1,0.0
252,CVE-2022-3602,2022-11-01,CVE-2022-21449,2025-05-05,2,0.0
252,CVE-2022-3602,2022-11-01,CVE-2022-47879,2023-05-05,3,0.05
252,CVE-2022-3602,2022-11-01,CVE-2022-2591,2023-05-13,4,0.05
252,CVE-2022-3602,2022-11-01,CVE-2022-47076,2023-06-22,5,0.05
252,CVE-2022-3602,2022-11-01,CVE-2022-28171,2023-07-19,6,0.05
252,CVE-2022-3602,2022-11-01,CVE-2022-2827,2025-03-18,7,0.05
252,CVE-2022-3602,2022-11-01,CVE-2022-40242,2025-03-18,8,0.05
252,CVE-2022-3602,2022-11-01,CVE-2022-29154,2025-01-16,9,0.09999999999999964
252,CVE-2022-3602,2022-11-01,CVE-2022-35919,2023-10-09,10,0.14999999999999963
252,CVE-2022-3602,2022-11-01,CVE-2022-46908,2025-05-14,11,0.25000000000000017
252,CVE-2022-3602,2022-11-01,CVE-2022-37967,2023-01-16,12,0.2999999999999998
262,CVE-2022-38023,2023-01-16,CVE-2022-48434,2023-05-10,1,0.0
262,CVE-2022-38023,2023-01-16,CVE-2022-20649,2024-11-15,2,0.05
262,CVE-2022-38023,2023-01-16,CVE-2022-45186,2025-01-08,3,0.05
262,CVE-2022-38023,2023-01-16,CVE-2022-49043,2025-01-26,4,0.05
262,CVE-2022-38023,2023-01-16,CVE-2022-41966,2025-05-20,5,0.14999999999999963
262,CVE-2022-38023,2023-01-16,CVE-2022-41137,2024-12-05,6,0.25000000000000105
262,CVE-2022-38023,2023-01-16,CVE-2022-26872,2025-03-18,7,0.25000000000000105
262,CVE-2022-38023,2023-01-16,CVE-2022-40259,2025-03-18,8,0.25000000000000105
262,CVE-2022-38023,2023-01-16,CVE-2022-0847,2025-04-30,9,0.2999999999999998
262,CVE-2022-38023,2023-01-16,CVE-2022-46721,2025-05-19,10,0.2999999999999998
262,CVE-2022-38023,2023-01-16,CVE-2022-3604,2025-05-26,11,0.2999999999999998
262,CVE-2022-38023,2023-01-16,CVE-2022-47636,2023-08-10,12,0.3499999999999998
257,CVE-2022-37966,2023-01-16,CVE-2022-48434,2023-05-10,1,0.0
257,CVE-2022-37966,2023-01-16,CVE-2022-20649,2024-11-15,2,0.05
257,CVE-2022-37966,2023-01-16,CVE-2022-45186,2025-01-08,3,0.05
257,CVE-2022-37966,2023-01-16,CVE-2022-49043,2025-01-26,4,0.05
257,CVE-2022-37966,2023-01-16,CVE-2022-41966,2025-05-20,5,0.14999999999999963
257,CVE-2022-37966,2023-01-16,CVE-2022-41137,2024-12-05,6,0.25000000000000105
257,CVE-2022-37966,2023-01-16,CVE-2022-26872,2025-03-18,7,0.25000000000000105
257,CVE-2022-37966,2023-01-16,CVE-2022-40259,2025-03-18,8,0.25000000000000105
257,CVE-2022-37966,2023-01-16,CVE-2022-0847,2025-04-30,9,0.2999999999999998
257,CVE-2022-37966,2023-01-16,CVE-2022-46721,2025-05-19,10,0.2999999999999998
257,CVE-2022-37966,2023-01-16,CVE-2022-3604,2025-05-26,11,0.2999999999999998
257,CVE-2022-37966,2023-01-16,CVE-2022-47636,2023-08-10,12,0.3499999999999998
160,CVE-2021-26414,2023-01-16,CVE-2021-20023,2025-05-13,1,0.15000000000000052
160,CVE-2021-26414,2023-01-16,CVE-2021-38314,2025-05-27,2,0.5
160,CVE-2021-26414,2023-01-16,CVE-2021-30892,2025-01-13,3,0.7500000000000002
160,CVE-2021-26414,2023-01-16,CVE-2021-30970,2025-01-13,4,0.7500000000000002
160,CVE-2021-26414,2023-01-16,CVE-2021-30871,2025-05-19,5,0.7500000000000002
160,CVE-2021-26414,2023-01-16,CVE-2021-30769,2025-05-20,6,0.7500000000000002
160,CVE-2021-26414,2023-01-16,CVE-2021-47671,2025-04-18,7,1.75
160,CVE-2021-26414,2023-01-16,CVE-2021-20035,2025-04-17,8,1.7500000000000002
160,CVE-2021-26414,2023-01-16,CVE-2021-31207,2025-02-19,9,1.8499999999999999
160,CVE-2021-26414,2023-01-16,CVE-2021-20288,2025-04-09,10,2.7
160,CVE-2021-26414,2023-01-16,CVE-2021-28976,2025-04-11,11,2.7
160,CVE-2021-26414,2023-01-16,CVE-2021-33813,2025-04-17,12,2.95
190,CVE-2021-42291,2023-01-16,CVE-2021-33813,2025-04-17,1,0.0
190,CVE-2021-42291,2023-01-16,CVE-2021-41773,2025-05-15,2,0.0
190,CVE-2021-42291,2023-01-16,CVE-2021-25742,2025-03-31,3,0.14999999999999963
