horizon_days,matched_events,mean_att_percentile_delta,median_att_percentile_delta,p25,p75,treated_gt_control_pct,treated_lt_control_pct,ttest_p,wilcoxon_p_nonzero
7,869,0.045342646069620254,4.66666666665283e-05,-0.00032999999999999696,0.03210000000000003,53.51,43.84,4.982632841198145e-13,4.069131218746189e-09
30,868,0.0017782834013056821,2.0000000000013063e-05,-0.031221666666666696,0.045709999999999945,50.58,48.04,0.8324782734165364,0.4811024632654154
