outcome,feature_set,n,positive_rate,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std
percentile_increase_plus7,cvss_only,4116,0.814382896015549,0.5770250940356958,0.018382634496379936,0.8431750114430849,0.010888903523939363
percentile_increase_plus7,cvss_plus_baseline_epss,4116,0.814382896015549,0.6614115503780822,0.01442331374618318,0.8889985796235622,0.008457202253745359
percentile_increase_plus7,plus_platform_attention,4116,0.814382896015549,0.7123921889960378,0.008932890424327418,0.9046808147612406,0.005881067779726662
percentile_increase_plus30,cvss_only,4116,0.8335762876579204,0.6098130129102426,0.010586356122680678,0.8721281681545051,0.001086351214313075
percentile_increase_plus30,cvss_plus_baseline_epss,4116,0.8335762876579204,0.7125742248577626,0.01497873092911175,0.9200102649860474,0.006210906148196631
percentile_increase_plus30,plus_platform_attention,4116,0.8335762876579204,0.7466208633527861,0.021444757475307632,0.9329031692939476,0.009146683724995304
kev_within_90d,cvss_only,4116,0.023566569484936833,0.6211384375559444,0.05639587268195911,0.04100916532211726,0.006327884067483554
kev_within_90d,cvss_plus_baseline_epss,4116,0.023566569484936833,0.6736917896262934,0.061344319952830795,0.07911962633364103,0.01909839219555594
kev_within_90d,plus_platform_attention,4116,0.023566569484936833,0.9255438258990164,0.03587901179352602,0.5235974356487548,0.07308471420006776
