dataset,n_cves,pct_with_any_sec_edge,mean_sec_edges,ent_CVE_ID_mean,ent_CVE_ID_pct,ent_CWE_ID_mean,ent_CWE_ID_pct,ent_SOFTWARE_mean,ent_SOFTWARE_pct,ent_VERSION_mean,ent_VERSION_pct,ent_CODE_ELEMENT_mean,ent_CODE_ELEMENT_pct,ent_ATTACK_VECTOR_mean,ent_ATTACK_VECTOR_pct,ent_IMPACT_mean,ent_IMPACT_pct,ent_VULN_TYPE_mean,ent_VULN_TYPE_pct,ent_SEVERITY_mean,ent_SEVERITY_pct,ent_REMEDIATION_mean,ent_REMEDIATION_pct,sec_AFFECTS_mean,sec_AFFECTS_pct,sec_HAS_VERSION_mean,sec_HAS_VERSION_pct,sec_LOCATED_IN_mean,sec_LOCATED_IN_pct,sec_CLASSIFIED_AS_mean,sec_CLASSIFIED_AS_pct,sec_EXPLOITED_BY_mean,sec_EXPLOITED_BY_pct,sec_CAUSES_mean,sec_CAUSES_pct,sec_MITIGATED_BY_mean,sec_MITIGATED_BY_pct,sec_USES_FUNCTION_mean,sec_USES_FUNCTION_pct,sec_THREATENS_mean,sec_THREATENS_pct,sec_HAS_SEVERITY_mean,sec_HAS_SEVERITY_pct
gpt_v2_S_git,9218,68.39,11.831,0.066,4.33,0.017,1.69,1.473,58.73,1.67,62.28,0.955,38.19,1.362,59.12,0.854,54.47,0.554,42.51,0.047,4.52,0.354,22.77,0.285,3.65,4.044,38.5,1.137,25.02,0.0,0.03,0.201,3.86,2.78,41.68,0.051,2.09,0.156,3.07,3.17,35.55,0.007,0.47
mistral_v2_ALL,9218,95.25,57.528,1.089,42.92,0.024,2.22,3.241,72.68,2.211,68.41,1.283,63.44,3.836,99.23,1.765,73.89,1.313,57.6,3.522,94.85,1.563,72.97,5.334,33.69,11.528,51.87,2.701,41.61,0.017,1.08,4.532,42.86,11.367,83.34,1.998,34.0,1.606,29.08,13.634,72.18,4.811,41.72
mistral_v2_D,9218,61.42,4.604,0.036,1.92,0.016,1.56,0.987,51.37,1.605,61.9,0.363,27.32,0.691,45.66,0.526,43.28,0.417,36.65,0.036,3.51,0.207,15.44,0.144,1.32,2.73,32.61,0.244,15.86,0.0,0.02,0.042,1.06,0.614,26.91,0.007,0.33,0.014,0.41,0.809,21.2,0.0,0.04
mistral_v2_S_all,9218,87.9,24.207,0.912,40.74,0.021,2.0,2.691,71.49,1.951,64.48,0.742,43.83,1.168,61.41,1.426,66.34,1.047,54.0,1.101,52.9,0.903,50.41,3.42,31.22,8.07,48.23,1.327,30.38,0.015,1.0,1.182,26.3,3.142,50.57,0.994,24.0,0.778,19.43,3.657,43.91,1.622,27.42
mistral_v2_S_cvss,9218,84.38,9.748,0.036,1.92,0.016,1.56,0.995,51.81,1.724,65.31,0.754,49.92,3.113,98.86,0.641,49.44,0.417,36.65,2.235,89.48,0.646,49.56,0.144,1.32,2.856,34.78,0.402,22.23,0.0,0.02,0.139,1.89,2.883,62.99,0.024,1.11,0.028,1.03,3.198,51.23,0.074,1.76
mistral_v2_S_git,9218,67.89,11.153,0.212,10.74,0.019,1.79,1.529,60.63,1.742,62.45,0.514,32.75,0.936,53.55,0.751,51.56,0.684,43.85,0.259,15.84,0.428,24.11,0.864,9.1,4.818,39.9,0.759,22.02,0.001,0.05,0.376,7.89,1.634,36.56,0.237,6.3,0.187,5.34,2.033,32.56,0.245,5.14
mv_gemma_ALL,6478,99.97,38.903,0.046,4.28,0.003,0.29,1.71,73.8,1.584,85.49,2.763,89.49,4.018,99.98,3.136,97.36,2.577,94.44,2.704,99.98,0.862,57.12,0.096,3.16,3.224,63.46,8.678,86.88,0.0,0.02,0.177,4.28,19.349,99.32,0.038,2.27,0.124,3.91,7.095,73.8,0.122,4.28
mv_gemma_D,6478,75.02,3.236,0.031,2.93,0.003,0.29,0.739,51.91,1.57,85.33,0.455,37.31,0.622,52.81,0.613,47.84,0.475,43.07,0.008,0.74,0.174,11.5,0.027,1.61,1.532,45.31,0.393,27.54,0.0,0.0,0.02,1.64,0.694,37.71,0.006,0.29,0.014,1.0,0.549,32.57,0.0,0.02
mv_gemma_S_code,6478,94.75,10.652,0.031,2.95,0.003,0.29,1.021,59.86,1.577,85.37,1.395,64.67,1.49,82.23,1.605,81.23,1.392,74.53,0.697,68.29,0.293,20.65,0.037,1.81,2.034,51.7,2.789,55.57,0.0,0.0,0.048,2.47,4.054,76.67,0.011,0.66,0.039,1.78,1.621,50.6,0.019,1.87
mv_gemma_S_cvss,6478,89.49,7.464,0.031,2.93,0.003,0.29,0.74,51.96,1.572,85.38,0.701,50.09,2.509,99.95,0.942,62.55,0.475,43.07,1.284,99.49,0.411,31.21,0.027,1.61,1.535,45.37,0.506,30.8,0.0,0.0,0.081,2.93,3.167,71.12,0.012,0.8,0.022,1.5,2.072,51.96,0.041,2.93
mv_gemma_S_url,6478,97.41,11.787,0.046,4.26,0.003,0.29,1.426,68.93,1.575,85.41,1.577,79.84,1.263,76.8,1.814,90.6,1.659,88.78,0.737,71.61,0.504,39.06,0.082,2.93,2.71,59.56,3.302,77.03,0.0,0.02,0.055,3.2,3.612,74.73,0.023,1.54,0.074,3.55,1.896,54.65,0.033,2.89
mv_gpt_ALL,6478,99.77,57.907,0.046,4.01,0.003,0.29,1.983,82.94,1.689,86.21,3.869,95.55,7.614,100.0,3.021,95.89,1.352,73.49,1.759,90.65,1.03,60.27,0.122,3.5,4.051,72.0,6.617,73.34,0.0,0.0,0.37,4.01,31.274,97.78,0.049,2.42,0.191,3.91,15.153,82.94,0.081,3.61
mv_gpt_D,6478,75.02,3.236,0.031,2.93,0.003,0.29,0.739,51.91,1.57,85.33,0.455,37.31,0.622,52.81,0.613,47.84,0.475,43.07,0.008,0.74,0.174,11.5,0.027,1.61,1.532,45.31,0.393,27.54,0.0,0.0,0.02,1.64,0.694,37.71,0.006,0.29,0.014,1.0,0.549,32.57,0.0,0.02
mv_gpt_S_code,6478,95.46,15.525,0.034,3.15,0.003,0.29,1.292,69.03,1.584,85.46,2.265,77.43,2.407,90.52,1.717,79.89,0.92,59.65,0.274,24.99,0.39,26.4,0.058,2.35,2.569,59.76,3.083,54.66,0.0,0.0,0.093,2.89,6.257,80.26,0.014,0.83,0.082,2.53,3.36,63.63,0.008,0.71
mv_gpt_S_cvss,6478,90.34,10.523,0.031,2.93,0.003,0.29,0.801,55.22,1.649,85.89,0.993,63.74,3.836,99.6,0.877,59.23,0.475,43.07,1.18,82.48,0.612,44.03,0.029,1.73,1.686,47.96,0.679,35.55,0.0,0.0,0.126,2.92,4.544,68.97,0.021,1.34,0.032,1.79,3.371,55.06,0.036,2.38
mv_gpt_S_url,6478,97.18,14.808,0.043,3.8,0.003,0.29,1.367,72.03,1.598,85.58,1.522,81.95,2.615,92.31,1.653,88.21,0.906,64.09,0.303,27.91,0.376,24.85,0.081,2.84,2.741,62.52,1.773,58.46,0.0,0.0,0.126,3.44,6.266,86.01,0.018,1.0,0.078,3.1,3.705,67.55,0.02,1.19
mv_mistral_ALL,6478,99.91,98.827,0.178,14.96,0.01,0.77,2.84,88.1,1.766,87.17,5.211,94.67,6.953,99.98,3.896,96.4,3.633,93.72,2.998,97.78,1.578,76.37,0.655,12.91,5.569,77.0,23.81,90.58,0.002,0.14,1.184,14.96,45.706,98.78,0.312,11.76,0.869,14.12,20.132,88.08,0.588,14.65
mv_mistral_D,6478,75.02,3.236,0.031,2.93,0.003,0.29,0.739,51.91,1.57,85.33,0.455,37.31,0.622,52.81,0.613,47.84,0.475,43.07,0.008,0.74,0.174,11.5,0.027,1.61,1.532,45.31,0.393,27.54,0.0,0.0,0.02,1.64,0.694,37.71,0.006,0.29,0.014,1.0,0.549,32.57,0.0,0.02
mv_mistral_S_code,6478,98.47,32.343,0.037,3.44,0.007,0.56,1.757,77.65,1.583,85.4,3.356,81.65,2.652,94.24,2.563,88.16,2.36,80.01,0.533,40.23,0.63,40.97,0.084,2.81,3.242,67.03,11.364,72.2,0.0,0.02,0.108,3.32,12.403,88.93,0.033,1.79,0.115,2.61,4.971,73.54,0.023,1.59
mv_mistral_S_cvss,6478,87.65,9.408,0.031,2.93,0.003,0.29,0.755,52.84,1.701,86.8,1.096,62.18,3.679,99.4,0.741,53.15,0.475,43.07,1.865,93.13,0.719,53.1,0.028,1.64,1.655,46.67,0.704,34.87,0.0,0.0,0.113,2.93,3.801,64.33,0.023,1.51,0.033,1.87,2.994,52.61,0.058,2.75
mv_mistral_S_url,6478,97.73,17.668,0.172,14.67,0.005,0.51,1.806,74.42,1.623,85.67,1.669,78.17,1.865,86.37,1.819,86.17,1.747,84.66,0.614,51.85,0.576,33.56,0.411,10.31,3.394,64.05,3.836,71.72,0.001,0.09,0.306,12.72,5.606,81.89,0.11,5.08,0.289,11.5,3.559,65.28,0.157,7.8
