family,llm,variant,run,n_samples,n_positive,prevalence,pr_auc,roc_auc,f1,precision,recall,brier,threshold,results_dir
social_media,deepseek,ALL,epss_deepseek_v2_ALL,1385,215,0.1552346570397112,0.8111197040328708,0.9376644802226198,0.7549019607843137,0.7979274611398963,0.7162790697674418,0.05791960497177826,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/deepseek/ALL
social_media,deepseek,D,epss_deepseek_v2_D,1385,215,0.1552346570397112,0.8322185762612804,0.9373961439077718,0.8,0.7739130434782608,0.827906976744186,0.053779589543822115,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/deepseek/D
social_media,deepseek,S_all,epss_deepseek_v2_S_all,1147,180,0.15693112467306017,0.6763702355958807,0.8921866023210389,0.6742857142857143,0.6941176470588235,0.6555555555555556,0.0771243736423158,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/deepseek/S_all
social_media,deepseek,S_git,epss_deepseek_v2_S_git,360,59,0.1638888888888889,0.6936863606686424,0.8579874992961316,0.6060606060606061,0.75,0.5084745762711864,0.08435267431959224,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/deepseek/S_git
social_media,gemma,ALL,epss_gemma_v2_ALL,1385,215,0.1552346570397112,0.8341004314082969,0.9494335122242098,0.7669172932330827,0.8315217391304348,0.7116279069767442,0.0533478051101854,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gemma/ALL
social_media,gemma,D,epss_gemma_v2_D,1385,215,0.1552346570397112,0.8356205474837473,0.9338322401113099,0.8158508158508159,0.8177570093457944,0.813953488372093,0.05054609589697666,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gemma/D
social_media,gemma,S_all,epss_gemma_v2_S_all,1148,180,0.156794425087108,0.7332263679055995,0.9175964187327824,0.5134099616858238,0.8271604938271605,0.37222222222222223,0.07616655393586087,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gemma/S_all
social_media,gemma,S_cvss,epss_gemma_v2_S_cvss,1385,215,0.1552346570397112,0.5421253101630561,0.8653627509441462,0.5558194774346793,0.5679611650485437,0.5441860465116279,0.10210197458525547,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gemma/S_cvss
social_media,gemma,S_git,epss_gemma_v2_S_git,360,59,0.1638888888888889,0.7186021006430963,0.8968410383467538,0.5684210526315789,0.75,0.4576271186440678,0.09130530875805619,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gemma/S_git
social_media,gpt,ALL,epss_gpt_v2_ALL,1385,215,0.1552346570397112,0.8002948752172964,0.9441661697475652,0.7439613526570048,0.7738693467336684,0.7162790697674418,0.05879523469013694,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gpt/ALL
social_media,gpt,D,epss_gpt_v2_D,1385,215,0.1552346570397112,0.84375602448061,0.9437606837606837,0.8056206088992974,0.8113207547169812,0.8,0.049146060755995494,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gpt/D
social_media,gpt,S_all,epss_gpt_v2_S_all,1143,179,0.15660542432195976,0.6825881512807831,0.8991168084563853,0.6407322654462243,0.5426356589147286,0.7821229050279329,0.1004433587985884,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gpt/S_all
social_media,gpt,S_cvss,epss_gpt_v2_S_cvss,1385,215,0.1552346570397112,0.5357506740670398,0.8584496124031008,0.5437352245862884,0.5528846153846154,0.5348837209302325,0.10193062244102129,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gpt/S_cvss
social_media,gpt,S_git,epss_gpt_v2_S_git,339,58,0.1710914454277286,0.70411149607695,0.9371395263222482,0.7846153846153846,0.7083333333333334,0.8793103448275862,0.06908634336016684,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/gpt/S_git
social_media,mistral,ALL,epss_mistral_v2_ALL,1385,215,0.1552346570397112,0.8313008168766272,0.9468535082488571,0.7655502392344498,0.7881773399014779,0.7441860465116279,0.05485480037099048,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/mistral/ALL
social_media,mistral,D,epss_mistral_v2_D,1385,215,0.1552346570397112,0.8373694189376371,0.9447227191413238,0.7990430622009569,0.8226600985221675,0.7767441860465116,0.04986917777436405,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/mistral/D
social_media,mistral,S_all,epss_mistral_v2_S_all,1099,164,0.1492265696087352,0.627343771830166,0.8887439676535803,0.4901185770750988,0.6966292134831461,0.3780487804878049,0.08376545844665367,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/mistral/S_all
social_media,mistral,S_cvss,epss_mistral_v2_S_cvss,1354,213,0.15731166912850814,0.5509812168056403,0.8696761345167118,0.5382830626450116,0.5321100917431193,0.5446009389671361,0.1031144237217679,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/mistral/S_cvss
social_media,mistral,S_git,epss_mistral_v2_S_git,359,59,0.16434540389972144,0.6266028181294917,0.8828248587570622,0.5319148936170213,0.7142857142857143,0.423728813559322,0.09901602432124057,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/social_media/mistral/S_git
