family,llm,variant,run,n_samples,n_positive,prevalence,pr_auc,roc_auc,f1,precision,recall,brier,threshold,results_dir
nvd_kev,nvd_kev,multiview_hybrid_rerun,epss_nvd_kev_multiview_hybrid_rerun,604,121,0.20033112582781457,0.9295808840856373,0.980040381226152,0.8517110266159695,0.7887323943661971,0.9256198347107438,0.0572538889212054,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/nvd_kev/nvd_kev/multiview_hybrid_rerun
nvd_kev,temporal,2020_2022_to_2023_2024,epss_temporal_2020_2022_to_2023_2024,3316,316,0.09529553679131483,0.8000250551445456,0.9518069620253164,0.7592891760904685,0.7755775577557755,0.7436708860759493,0.03785714927746496,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/nvd_kev/temporal/2020_2022_to_2023_2024
nvd_kev,temporal,2020_to_2021_2026_noepss,epss_temporal_2020_to_2021_2026_noepss,9176,658,0.07170880557977333,0.20036551331268038,0.6844031698295261,0.259672131147541,0.22837370242214533,0.3009118541033435,0.10255207907628563,0.5,/home/ayounas/Text_property_Graph/EPSS_TPG/Inference_results/nvd_kev/temporal/2020_to_2021_2026_noepss
